Hospitals
7.376831,124.558155	ALAMADA PROVINCIAL COMMUNITY HOSPITAL
7.166183, 124.572913	ALEOSAN DISTRICT HOSPITAL
6.478585,124.867301	ALLAH VALLEY MEDICAL SPECIALISTS CENTER INC
6.5069178,124.4197791	AMOIL CLINIC AND HOSPITAL
7.132027,124.525577	ANECITO T. PESANTE SR. MEMORIAL HOSPITAL, INC.
7.24433,125.055887	ANTIPAS MEDICAL SPECIALIST HOSPITAL, INC.
7.104329,124.831856	ANULAO ST. MICHAEL MEDICAL CLINIC AND HOSPITAL
7.241432,125.062971	ARAKAN VALLEY DISTRICT HOSPITAL
6.112123,125.163245	AUGUIS CLINIC AND HOSPITAL
7.088441,124.900609	BABOL GENERAL HOSPITAL
6.832256,124.88171	BIRHEN SA REGLA MEDICAL CLINIC
6.220412,125.063767	BONTUYAN MEDICAL HOSPITAL INC.
7.054344,124.672809	CADULONG MEDICAL CLINIC
6.945334,124.887673	CEM MEDICAL SPECIALIST HOSPITAL
6.550529,124.667616	CLINICA LUNTAO AND HOSPITAL
6.721056,124.518627	CODILLA-RAMOS CLINIC AND HOSPITAL
7.220754,124.250042	COTABATO MEDICAL SPECIALIST HOSPITAL
7.057317,124.971737	COTABATO PROVINCIAL HOSPITAL
7.224270,124.246717	COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION INC.
7.200089,124.236776	COTABATO REGIONAL AND MEDICAL CENTER
7.235898,124.269116	COTABATO SANITARIUM
7.052789,124.672658	CRUZADO MEDICAL CLINIC HOSPITAL
6.743865,125.361379	DAVAO DEL SUR PROVINCIAL HOSPITAL
7.012614,125.090117	DIZON MEDICAL CLINIC AND HOSPITAL
7.131799,124.525735	DR. AMADO B. DIAZ PROVINCIAL FOUNDATION HOSPITAL
6.724519,124.518319	DR. DOMINGO B. TAMONDONG MEMORIAL HOSPITAL AND COLLEGE FOUNDATION, INC.
6.41702,124.697742	DR. ERVIN B. LUNTAO FAMILY CLINIC AND HOSPITAL
6.945299,124.886216	DR. HERMAN SORONGON SR. HOSPITAL
7.01468,125.089442	DR. LUIS P. MALALUAN HOSPITAL
6.32862,124.954022	DR. ROGELIO M. GARCIA MEMORIAL HOSPITAL
